Peak Numbers based on the given limits	2604
Time_Botoom	Bottom	Time_Peak	Peak	Time_HLLS	HLLS	L_s	Time_HLTB	HLTB	L_f
60.818	1.47089	61.138	1.93039	60.958	1.73591	1.5072	60.718	1.86321	0.7536
61.618	1.26746	62.538	2.08575	62.058	1.76244	4.3332	61.358	1.6753	2.2608
62.738	1.62274	63.058	2.04996	62.878	1.84385	1.5072	62.618	1.8815	0.942
63.538	1.47955	64.258	2.08356	63.878	1.79925	3.3912	63.278	1.79508	2.2608
65.138	1.45767	65.738	1.96512	65.418	1.74659	2.826	64.678	1.62936	4.1448
65.938	1.55771	66.338	1.9762	66.118	1.7148	1.884	65.818	1.78237	0.942
66.538	1.62863	66.858	1.91739	66.678	1.76486	1.5072	66.418	1.7493	0.942
67.338	1.67978	67.618	2.10242	67.458	1.88936	1.3188	67.078	1.63795	2.2608
67.818	1.29868	68.898	1.99063	68.338	1.79155	5.0868	67.698	1.81796	0.942
69.618	1.69717	69.858	1.90204	69.718	1.78611	1.1304	69.238	1.6464	3.3912
70.018	1.4364	70.658	1.97418	70.318	1.75955	3.0144	69.918	1.75946	0.7536
70.858	1.40769	71.218	1.85956	71.018	1.65249	1.6956	70.738	1.69611	0.942
71.738	1.65668	71.858	1.88526	71.778	1.72667	0.5652	71.458	1.62218	2.4492
72.418	1.37689	73.978	2.09872	73.178	1.83739	7.3476	72.118	1.62107	2.6376
74.498	1.51159	75.058	2.01724	74.758	1.77265	2.6376	74.218	1.7174	2.4492
75.498	1.69779	75.818	2.2442	75.638	1.96634	1.5072	75.258	1.73704	2.0724
76.018	1.38047	76.458	1.93536	76.218	1.65402	2.0724	75.898	2.02997	0.942
76.618	1.63617	76.858	1.93066	76.718	1.75769	1.1304	76.518	1.81864	0.7536
77.098	1.5925	77.458	1.97238	77.258	1.7346	1.6956	76.958	1.70159	1.1304
78.138	1.48084	78.578	1.87439	78.338	1.67452	2.0724	77.778	1.6235	3.2028
78.818	1.43667	79.218	1.87237	78.998	1.67569	1.884	78.678	1.70097	1.1304
79.418	1.39496	79.858	2.09915	79.618	1.68031	2.0724	79.298	1.62065	0.942
79.978	1.69058	80.378	1.97815	80.158	1.83329	1.884	79.898	1.94246	0.5652
80.858	1.68555	81.058	1.81595	80.938	1.75412	0.942	80.598	1.63711	2.2608
81.138	1.69565	81.178	1.82019	81.138	1.69565	0.1884	81.078	1.8133	0.3768
81.258	1.45383	82.098	1.84293	81.658	1.76104	3.9564	81.198	1.75879	0.3768
82.578	1.49741	83.178	1.88986	82.858	1.78832	2.826	82.318	1.57337	2.2608
83.458	1.46985	83.778	1.85507	83.598	1.65751	1.5072	83.298	1.569	1.3188
83.978	1.31317	84.818	1.93219	84.378	1.68373	3.9564	83.858	1.68296	0.942
85.018	1.677	85.218	1.90772	85.098	1.73598	0.942	84.898	1.79037	0.942
85.818	1.39853	86.378	1.98007	86.078	1.66417	2.6376	85.498	1.62094	2.826
86.658	1.50125	87.218	2.17386	86.918	1.7809	2.6376	86.498	1.73084	1.3188
